0,1,2,3,4,5,6,7,8,9,10,11,12,13
,,,,na A,,,,na,,lami-,,,
Código e descrição do alimento,,Código e descrição da preparação,nol,,na,vina,na,,xina,,(DFE),na D,na E
,,,,(RAE),,,,(NE),,na,,,
,,,(mcg),,(mg),(mg),(mg),,(mg),,(mcg),(mcg),(mg)
,,,,(mcg),,,,(mg),,(mcg),,,
,2,Cozido(a),-,-,"0,09","0,61","3,95","10,67",-,"1,19","5,00",-,"0,34"
,5,Frito(a),-,-,"0,09","0,61","3,95","10,67",-,"1,19","5,00",-,"0,55"
,2,Cozido(a),-,-,"0,12","0,31","6,27","11,79","0,17","2,58","21,00","0,60","0,17"
,3,Grelhado(a)/brasa/churrasco,-,-,"0,12","0,31","6,27","11,79","0,17","2,58","21,00","0,60","0,17"
,4,Assado(a),-,-,"0,12","0,31","6,27","11,79","0,17","2,58","21,00","0,60","0,17"
,5,Frito(a),-,-,"0,12","0,31","6,27","11,79","0,17","2,58","21,00","0,60","0,63"
,13,Ensopado,-,-,"0,12","0,31","6,27","11,79","0,17","2,58","21,00","0,60","0,63"
,2,Cozido(a),-,-,"0,12","0,31","6,27","11,79","0,17","2,58","21,00","0,60","0,17"
,3,Grelhado(a)/brasa/churrasco,-,-,"0,12","0,31","6,27","11,79","0,17","2,58","21,00","0,60","0,17"
,4,Assado(a),-,-,"0,12","0,31","6,27","11,79","0,17","2,58","21,00","0,60","0,17"
,5,Frito(a),-,-,"0,12","0,31","6,27","11,79","0,17","2,58","21,00","0,60","0,63"
,2,Cozido(a),"2,00","2,00","0,64","0,31","5,36","11,46","0,40","0,55","9,00","0,80","0,32"
,2,Cozido(a),"3,00","3,00","0,58","0,30","4,46","9,48","0,40","0,66","5,00","1,10","0,22"
,3,Grelhado(a)/brasa/churrasco,"3,00","3,00","0,58","0,30","4,46","9,48","0,40","0,66","5,00","1,10","0,22"
,4,Assado(a),"3,00","3,00","0,58","0,30","4,46","9,48","0,40","0,66","5,00","1,10","0,22"
,5,Frito(a),"3,00","3,00","0,58","0,30","4,46","9,48","0,40","0,66","5,00","1,10","0,68"
,2,Cozido(a),-,-,"0,07","0,25","3,81","7,76","0,28","2,70","9,00","0,70","0,14"
,4,Assado(a),-,-,"0,07","0,25","3,81","7,76","0,28","2,70","9,00","0,70","0,14"
,5,Frito(a),-,-,"0,07","0,25","3,81","7,76","0,28","2,70","9,00","0,70","0,60"
,7,Refogado(a),-,-,"0,07","0,25","3,81","7,76","0,28","2,70","9,00","0,70","0,60"
,8,Molho vermelho,-,"3,48","0,06","0,21","3,24","6,44","0,24","2,16","9,40","0,56","0,40"
,2,Cozido(a),"3,00","3,00","0,58","0,30","4,46","9,48","0,40","0,66","5,00","1,10","0,22"
,4,Assado(a),"3,00","3,00","0,58","0,30","4,46","9,48","0,40","0,66","5,00","1,10","0,22"
,5,Frito(a),"3,00","3,00","0,58","0,30","4,46","9,48","0,40","0,66","5,00","1,10","0,68"
,99,Não se aplica,-,-,"0,07","0,16","5,36","8,73","0,40","1,71","10,00","0,60","0,43"
,99,Não se aplica,-,-,"0,07","0,16","5,36","8,73","0,40","1,71","10,00","0,60","0,43"
,99,Não se aplica,-,-,-,-,"4,27",-,-,-,-,-,-
,2,Cozido(a),"3,00","3,00","0,41","0,38","5,48","11,63","0,35","1,08","4,00","1,10","0,34"
,5,Frito(a),"3,00","3,00","0,41","0,38","5,48","11,63","0,35","1,08","4,00","1,10","0,34"
,1,Cru(a),-,-,"0,08","0,23","3,21","7,57","0,26","2,83","9,00","0,70","0,14"
,2,Cozido(a),-,-,"0,08","0,23","3,21","7,57","0,26","2,83","9,00","0,70","0,14"
,3,Grelhado(a)/brasa/churrasco,-,-,"0,08","0,23","3,21","7,57","0,26","2,83","9,00","0,70","0,14"
,4,Assado(a),-,-,"0,08","0,23","3,21","7,57","0,26","2,83","9,00","0,70","0,14"
