0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,,,,,,,,,,,,,,,(continuação)
,,,,,Vitami-,,,,Niaci-,,Coba-,,,,
,,,,Reti-,,Tiami-,Ribofla-,Niaci-,,Pirido-,,Folato,Vitami-,Vitami-,Vitami-
,,,,,na A,,,,na,,lami-,,,,
,Código e descrição do alimento,,Código e descrição da preparação,nol,,na,vina,na,,xina,,(DFE),na D,na E,na C
,,,,,(RAE),,,,(NE),,na,,,,
,,,,(mcg),,(mg),(mg),(mg),,(mg),,(mcg),(mcg),(mg),(mg)
,,,,,(mcg),,,,(mg),,(mcg),,,,
Inhame,,5,Frito(a),-,"1043,46","0,07","0,06","0,56","0,91","0,19",-,"22,00",-,"0,93","9,10"
Inhame,,7,Refogado(a),-,"1043,46","0,07","0,06","0,56","0,91","0,19",-,"22,00",-,"0,93","9,10"
Inhame,,13,Ensopado,-,"1043,46","0,07","0,06","0,56","0,91","0,19",-,"22,00",-,"0,93","9,10"
Inhame,,15,Sopa,-,"33,48","0,03","0,03","0,51","0,67","0,04","0,02","9,28",-,"0,20","2,10"
Quicaré,,99,Não se aplica,-,"1043,46","0,07","0,06","0,56","0,91","0,19",-,"22,00",-,"0,77","9,10"
Mandioca,,1,Cru(a),-,-,"0,06",-,-,-,"0,03",-,-,-,-,"11,10"
Mandioca,,2,Cozido(a),-,-,"0,06",-,-,-,"0,03",-,-,-,-,"11,10"
Mandioca,,4,Assado(a),-,-,"0,06",-,-,-,"0,03",-,-,-,-,"11,10"
Mandioca,,5,Frito(a),-,-,"0,06",-,-,-,"0,03",-,-,-,"0,41","10,55"
Mandioca,,7,Refogado(a),-,-,"0,06",-,-,-,"0,03",-,-,-,"0,41","10,55"
Mandioca,,8,Molho vermelho,-,"3,48","0,05","0,01","0,20","0,23","0,04",-,"2,20",-,"0,28","10,28"
Mandioca,,11,Com manteiga/óleo,"33,55","34,21","0,06","0,00","0,00","0,01","0,03","0,01","0,15","0,07","0,12","10,55"
Mandioca,,13,Ensopado,-,-,"0,06",-,-,-,"0,03",-,-,-,"0,41","10,55"
Mandioca,,15,Sopa,-,"33,48","0,03","0,03","0,51","0,67","0,04","0,02","9,28",-,"0,20","2,10"
Mandioca,,99,Não se aplica,-,-,"0,06",-,-,-,"0,03",-,-,-,-,"11,10"
Aipim,,2,Cozido(a),-,-,"0,06",-,-,-,"0,03",-,-,-,-,"11,10"
Aipim,,4,Assado(a),-,-,"0,06",-,-,-,"0,03",-,-,-,-,"11,10"
Aipim,,5,Frito(a),-,-,"0,06",-,-,-,"0,03",-,-,-,"0,41","10,55"
Aipim,,6,Empanado(a)/à milanesa,-,-,"0,06",-,-,-,"0,03",-,-,-,"0,41","10,55"
Aipim,,7,Refogado(a),-,-,"0,06",-,-,-,"0,03",-,-,-,"0,41","10,55"
Aipim,,8,Molho vermelho,-,"3,48","0,05","0,01","0,20","0,23","0,04",-,"2,20",-,"0,28","10,28"
Aipim,,11,Com manteiga/óleo,"33,55","34,21","0,06","0,00","0,00","0,01","0,03","0,01","0,15","0,07","0,12","10,55"
Aipim,,13,Ensopado,-,-,"0,06",-,-,-,"0,03",-,-,-,"0,41","10,55"
Aipim,,15,Sopa,-,"33,48","0,03","0,03","0,51","0,67","0,04","0,02","9,28",-,"0,20","2,10"
Aipim,,99,Não se aplica,-,-,"0,06",-,-,-,"0,03",-,-,-,-,"11,10"
Macaxeira,,1,Cru(a),-,-,"0,06",-,-,-,"0,03",-,-,-,-,"11,10"
Macaxeira,,2,Cozido(a),-,-,"0,06",-,-,-,"0,03",-,-,-,-,"11,10"
Macaxeira,,4,Assado(a),-,-,"0,06",-,-,-,"0,03",-,-,-,-,"11,10"
Macaxeira,,5,Frito(a),-,-,"0,06",-,-,-,"0,03",-,-,-,"0,41","10,55"
Cará,,2,Cozido(a),-,"1043,46","0,07","0,06","0,56","0,91","0,19",-,"22,00",-,"0,77","9,10"
Cará,,5,Frito(a),-,"1043,46","0,07","0,06","0,56","0,91","0,19",-,"22,00",-,"0,93","9,10"
Cará,,7,Refogado(a),-,"1043,46","0,07","0,06","0,56","0,91","0,19",-,"22,00",-,"0,93","9,10"
Cará,,13,Ensopado,-,"1043,46","0,07","0,06","0,56","0,91","0,19",-,"22,00",-,"0,93","9,10"
